unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20,exogenous21,exogenous22,exogenous23,exogenous24,exogenous25,exogenous26,exogenous27,exogenous28,exogenous29,exogenous30
GDP,1990/1/1,103335.6,1.6,0.6,0.4,0.1,3.0,3.0,0.0,88.76,103.9,158.05,26193,24901,378896.22,381578,22634,10.04666667,2.433333333,2.533333333,34.89,103.7666667,100.1225333,3.033333333,0.274766667,-0.093333333,30.43333333,10762337.78,8875017.377,51523.66667,-1887320.4,99138.0
GDP,1990/4/1,106995.0,4.2,0.3,0.5,0.2,7.1,7.2,-0.1,89.88,102.7,162.56,21114,19994,402099.16,390674,18963,9.713333333,2.6,2.566666667,47.31666667,102.5333333,100.3704,3.366666667,0.223133333,4.45,31.1,10647607.34,8543770.18,48698.33333,-2103837.17,107508.6667
GDP,1990/7/1,111769.1,3.6,0.3,0.4,0.0,7.5,7.4,0.1,91.2,101.7,167.34,26899,25709,411874.03,404055,14883,9.616666667,2.733333333,2.566666667,40.76,101.5666667,100.4822667,3.266666667,0.236866667,-3.583333333,32.46666667,9512305.23,7980311.38,47390.0,-1531993.847,114659.3333
GDP,1990/10/1,124689.3,1.4,0.6,0.5,-0.1,3.7,3.5,0.2,92.41,100.7,167.5,18111,17219,425815.31,408557,8256,9.306666667,2.633333333,2.666666667,35.15,100.5,100.4631333,3.566666667,0.176966667,-0.633333333,34.73333333,8458071.503,7325894.683,47382.33333,-1132176.82,108684.3333
GDP,1991/1/1,112511.7,2.0,0.0,0.7,0.6,6.0,5.2,0.7,92.79,100.0333333,168.27,19592,18356,418325.47,413878,13676,8.636666667,2.633333333,2.733333333,37.54666667,100.0,100.4273667,3.966666667,0.070033333,0.916666667,39.06666667,8032878.14,7477091.537,49419.33333,-555786.61,108414.6667
GDP,1991/4/1,114445.0,1.1,0.2,0.5,0.1,3.9,3.4,0.6,93.2,99.83333333,167.31,18729,17679,443695.05,420705,24560,5.843333333,2.8,2.8,37.26,99.8,100.5225,4.733333333,0.027366667,5.663333333,37.36666667,7228024.42,6933369.537,45586.66667,-294654.8833,101253.0
GDP,1991/7/1,117032.3,0.4,0.1,0.5,0.0,1.7,1.2,0.6,94.1,99.33333333,166.34,20081,19023,446579.36,426848,25334,4.61,3.033333333,2.9,24.75333333,99.43333333,100.483,7.733333333,0.077066667,19.80666667,35.53333333,6767806.36,6888209.277,44277.0,120402.92,95260.33333
GDP,1991/10/1,131148.3,1.3,0.3,0.5,0.2,2.4,1.5,0.9,94.2,99.83333333,163.3,20021,18968,462533.59,433133,28187,-0.55,2.8,2.833333333,3.44,99.93333333,99.9368,9.5,0.073233333,-1.426666667,33.26666667,6262972.61,6398469.75,44687.0,135497.1433,80551.33333
GDP,1992/1/1,117177.9,2.2,0.7,0.4,0.1,2.1,1.5,0.6,95.02,99.53333333,161.3,18771,17663,437765.31,436752,34916,-2.226666667,2.9,3.0,-11.42333333,99.63333333,99.16953333,9.1,0.023933333,-3.463333333,32.9,5836447.28,6461442.24,46226.0,624994.9633,67397.0
GDP,1992/4/1,118051.3,1.1,1.4,0.3,0.1,0.7,0.2,0.4,93.48,100.0,158.24,16849,15936,452507.59,437065,33785,-0.83,2.966666667,2.966666667,-19.61,99.83333333,98.428,8.5,0.025533333,-13.01333333,30.53333333,5273085.443,5551633.4,42365.0,278547.96,56579.66667
GDP,1992/7/1,120192.9,1.2,1.3,0.3,0.2,1.1,0.5,0.6,93.14,100.0666667,155.83,17830,16916,448151.45,439144,34365,-2.203333333,2.833333333,2.733333333,-15.49333333,100.0666667,97.74246667,5.366666667,0.0031,-20.34,24.63333333,5456443.277,4750259.297,39557.0,-706183.9833,45023.0
GDP,1992/10/1,132130.1,0.2,0.9,0.4,0.2,-0.2,-0.8,0.6,93.63,100.3666667,153.54,17182,16326,453441.75,441082,39283,0.66,2.4,2.433333333,-7.496666667,100.4666667,98.7902,2.833333333,-0.034366667,-4.596666667,36.16666667,6104301.197,6036372.08,39557.0,-67929.11667,63464.0
GDP,1993/1/1,117445.3,0.4,1.2,0.5,0.1,1.2,0.6,0.6,93.39,100.4666667,151.19,17124,15945,424081.27,440807,42896,0.2,2.233333333,2.3,-11.74,100.5666667,99.3791,2.5,-0.088833333,-6.81,38.0,6589216.603,6510425.76,38544.66667,-78790.84333,68780.66667
GDP,1993/4/1,116815.6,0.2,0.6,0.5,-0.1,0.3,0.0,0.3,93.77,99.96666667,149.82,18134,17380,448752.97,442703,34378,-0.886666667,2.333333333,2.333333333,-4.8,100.1,99.753,2.266666667,-0.199166667,-1.196666667,37.0,6562113.56,6383725.243,38803.0,-178388.3133,77099.0
GDP,1993/7/1,117748.4,0.2,0.6,0.5,-0.1,-1.0,-1.0,0.1,93.64,99.93333333,147.76,16057,15209,435548.31,441283,34043,0.566666667,2.433333333,2.333333333,-0.05,100.1666667,100.0211333,2.366666667,-0.0767,-2.16,39.46666667,6468510.903,6362407.567,37896.0,-106103.34,84623.33333
GDP,1993/10/1,131702.5,1.4,0.9,0.3,-0.3,0.3,0.8,-0.4,93.2,99.7,146.99,18010,17304,443689.26,442440,35373,0.9,2.4,2.466666667,-1.963333333,99.8,100.1970667,2.366666667,-0.018466667,-1.54,41.2,6579995.587,6387329.74,38081.33333,-192665.8467,97012.33333
GDP,1994/1/1,123456.5,1.2,0.5,0.5,0.1,-1.3,-1.0,-0.3,93.25,99.96666667,146.0,25624,24568,413134.36,446941,38422,2.213333333,2.366666667,2.466666667,11.46666667,100.0333333,100.3718667,2.466666667,0.096766667,1.366666667,42.7,7481152.067,7064117.707,41364.66667,-417034.36,109124.0
GDP,1994/4/1,124907.2,1.5,0.7,0.6,-0.1,2.4,2.7,-0.3,95.18,99.63333333,144.79,21846,21062,417944.75,448900,34341,3.113333333,2.466666667,2.433333333,12.36333333,99.6,100.4557,2.866666667,0.090966667,0.16,43.53333333,6901306.58,6717519.433,38750.66667,-183787.1467,120975.6667
