unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5
GDP,1990/1/1,317117,2.4,39885,37447,13973,7.85
GDP,1990/4/1,319239,2.98,39688,37767,14059,11.38
GDP,1990/7/1,315744,-2.08,38655,37504,14363,4.93
GDP,1990/10/1,314148,-2.82,37788,37723,14392,7.31
GDP,1991/1/1,312596,-7.68,36822,36863,13511,-1.89
GDP,1991/4/1,312235,-8.05,36495,38164,14252,4.57
GDP,1991/7/1,311624,-4.27,37006,38657,13923,4.96
GDP,1991/10/1,312006,-0.78,37493,38381,14204,3.99
GDP,1992/1/1,311904,2.86,37874,38277,14811,14.53
GDP,1992/4/1,311418,8.43,39571,39050,15518,9.46
GDP,1992/7/1,312896,7.36,39729,38678,14563,6.45
GDP,1992/10/1,315307,7.72,40389,39833,14489,9.24
GDP,1993/1/1,316882,8.34,41032,40320,14315,10.12
GDP,1993/4/1,318302,1.21,40051,40039,15046,12.28
GDP,1993/7/1,321218,2.83,40854,40375,15464,18.2
GDP,1993/10/1,323400,3.03,41611,41196,15365,13.69
GDP,1994/1/1,326585,2.84,42196,43171,16284,14.85
GDP,1994/4/1,329584,6.04,42471,43790,16529,11.41
GDP,1994/7/1,332911,3.04,42097,44604,16673,10.86
GDP,1994/10/1,334363,5.81,44028,46461,17077,12.1
GDP,1995/1/1,336090,3.15,43524,47930,16583,4.12
GDP,1995/4/1,336789,5.94,44993,47666,17303,7.82
GDP,1995/7/1,340542,9.52,46106,49654,17507,8.43
GDP,1995/10/1,341602,6.14,46730,50412,17348,5.21
GDP,1996/1/1,343859,11.86,48684,51291,17887,14.61
GDP,1996/4/1,344979,9.07,49074,52124,18354,9.14
GDP,1996/7/1,348214,8.81,50169,53203,18508,7.8
GDP,1996/10/1,352958,8.28,50597,54023,19804,13.17
GDP,1997/1/1,358611,7.27,52224,57943,20272,1.65
GDP,1997/4/1,362573,12.13,55029,58762,20781,1.14
GDP,1997/7/1,365942,6.64,53500,57749,22307,5.16
GDP,1997/10/1,371341,10.48,55900,59717,21678,-0.06
GDP,1998/1/1,374037,10.21,57555,59626,22451,8.15
GDP,1998/4/1,376421,7.65,59237,59037,22999,7.93
GDP,1998/7/1,377650,11.99,59917,58134,23331,5.08
GDP,1998/10/1,380155,7.71,60211,58203,23168,8.83
GDP,1999/1/1,382789,6.7,61414,57639,24712,11.44
GDP,1999/4/1,384605,4.43,61864,58608,25338,10.83
GDP,1999/7/1,390758,8.55,65037,62009,24981,6.83
GDP,1999/10/1,396357,9.09,65682,62449,26175,9.32
GDP,2000/1/1,401242,8.79,66815,63932,25733,2.15
GDP,2000/4/1,404196,10.36,68274,65424,26900,6.43
GDP,2000/7/1,406795,8.23,70389,65494,26962,11.65
GDP,2000/10/1,409411,10.71,72719,69004,27521,8.47
GDP,2001/1/1,413054,12.34,75059,70761,27266,11.28
GDP,2001/4/1,414878,10.18,75225,67781,27797,7.81
GDP,2001/7/1,417085,5.54,74288,66141,27968,5.2
GDP,2001/10/1,418445,2.59,74606,66543,27162,0.75
GDP,2002/1/1,419534,2.93,77258,68408,28148,3.89
GDP,2002/4/1,421587,7.39,80785,71187,28536,4.72
GDP,2002/7/1,424425,6.88,79399,67924,29425,6.5
GDP,2002/10/1,427725,5.78,78918,64982,29941,11.47
GDP,2003/1/1,430832,3.97,80323,68259,29959,9.2
GDP,2003/4/1,434837,-1.5,79572,66098,30085,7.53
GDP,2003/7/1,438710,0.47,79769,65656,30781,9.54
GDP,2003/10/1,442172,5.2,83025,67781,30404,5.28
GDP,2004/1/1,443853,3.65,83254,66518,31357,4.89
GDP,2004/4/1,446443,6.49,84739,67252,32284,6.75
GDP,2004/7/1,448171,8.71,86715,68534,33076,5.57
GDP,2004/10/1,450464,6.99,88832,69840,33621,12.01
GDP,2005/1/1,453784,5.56,87879,67460,33842,10.32
GDP,2005/4/1,457557,8.27,91744,72746,34480,8.44
GDP,2005/7/1,461135,8.79,94337,74801,33371,5.35
GDP,2005/10/1,465451,9.74,97484,77778,33964,4.23
GDP,2006/1/1,467840,25.15,109979,90074,34860,9.51
GDP,2006/4/1,469655,24.12,113869,94790,34929,7.9
GDP,2006/7/1,470918,4.34,98434,74606,34848,6.14
GDP,2006/10/1,473372,0.04,97523,74487,35361,6.63
GDP,2007/1/1,477823,-8.82,100276,74003,35525,0.13
GDP,2007/4/1,481314,-12.63,99484,76731,35846,2.62
GDP,2007/7/1,484544,5.62,103963,75825,35682,5.15
GDP,2007/10/1,487413,5.09,102483,76720,36728,5.54
GDP,2008/1/1,489783,1.08,101359,76494,37163,12.46
GDP,2008/4/1,487386,3.63,103094,78352,34594,6.21
GDP,2008/7/1,479872,-3.14,100695,77695,34762,8.83
GDP,2008/10/1,469694,-8.29,93990,72315,34190,5.6
GDP,2009/1/1,460105,-11.68,89518,67238,33580,2.1
GDP,2009/4/1,458599,-13.29,89389,66109,33538,3.18
GDP,2009/7/1,458875,-7.85,92792,67560,33245,0.29
GDP,2009/10/1,460238,0.36,94327,70637,33634,0.31
GDP,2010/1/1,464543,7.4,96143,71475,34164,0.98
GDP,2010/4/1,469606,11.34,99527,75285,34679,5.02
GDP,2010/7/1,472199,10.95,102951,75789,35112,6.53
GDP,2010/10/1,472612,10.35,104090,77348,34868,6.61
GDP,2011/1/1,473819,6.2,102102,82737,33931,0.96
GDP,2011/4/1,474365,5.68,105184,78222,34789,3.54
GDP,2011/7/1,475813,1.3,104294,77326,35059,3.96
GDP,2011/10/1,476479,0.03,104125,81206,36218,5.96
GDP,2012/1/1,480632,2.68,104837,82055,36175,7.17
GDP,2012/4/1,479979,1.64,106904,77428,36568,3.68
GDP,2012/7/1,484579,2.31,106703,79514,36124,0.81
GDP,2012/10/1,484039,0.3,104434,77244,34952,-4.25
GDP,2013/1/1,485409,-1.11,103678,77364,36995,5.46
GDP,2013/4/1,488930,3.11,110233,79128,37314,6.72
GDP,2013/7/1,493002,3.11,110025,79221,37409,7.85
GDP,2013/10/1,496466,8.57,113380,78226,37423,9.33
GDP,2014/1/1,500552,5.35,109229,78498,39174,3.64
GDP,2014/4/1,504939,-0.03,110200,80805,39086,1.95
GDP,2014/7/1,508741,3.19,113532,77853,40736,5.3
GDP,2014/10/1,512334,6.18,120391,81320,43178,11.79
GDP,2015/1/1,513850,9.31,119403,80708,43687,7.83
GDP,2015/4/1,516876,4,114607,84360,44383,7.8
GDP,2015/7/1,518915,1.67,115426,81848,43499,3.47
GDP,2015/10/1,521920,-1.07,119097,83108,46024,3.87
GDP,2016/1/1,523813,-0.48,118828,82155,45915,6.15
GDP,2016/4/1,526750,5.46,120860,84801,45475,6.99
GDP,2016/7/1,528712,8.07,124744,80886,47707,19.76
GDP,2016/10/1,532082,1.81,121254,84834,47026,13.22
GDP,2017/1/1,536566,3.07,122475,86808,46812,10.4
GDP,2017/4/1,540020,3.86,125522,89795,49379,15.05
GDP,2017/7/1,543452,1.36,126444,89857,50405,6.73
GDP,2017/10/1,547377,1.22,122728,89423,50315,6.88
GDP,2018/1/1,547688,0.87,123538,89142,52605,13.7
GDP,2018/4/1,548600,-0.93,124350,89436,53508,8.64
GDP,2018/7/1,550425,-1.15,124993,90833,53675,7
GDP,2018/10/1,551128,2.67,126007,87342,58456,16.95
GDP,2019/1/1,555141,15.47,142649,90331,54576,4.33
GDP,2019/4/1,556932,-0.45,123788,83376,56208,8.44
GDP,2019/7/1,560987,-0.07,124907,91011,56887,9.88
GDP,2019/10/1,560861,-4.51,120330,98784,56457,-1.4
GDP,2020/1/1,545597,-19.64,114638,82354,53046,-3
GDP,2020/4/1,434718,-26.56,90915,76387,36778,-33.3
GDP,2020/7/1,507643,-11.05,111108,75584,38825,-33.34
GDP,2020/10/1,514531,9.87,132205,81941,40197,-28.39
GDP,2021/1/1,509261,-0.49,114079,73421,41132,-20.04
GDP,2021/4/1,546579,28.45,116778,82688,43178,16.7
GDP,2021/7/1,555956,9.39,121545,76511,45438,20.95
GDP,2021/10/1,564407,-9.27,119948,84128,53868,42.44
GDP,2022/1/1,567396,19.05,135808,76923,50693,35.52
GDP,2022/4/1,567889,13.53,132575,80987,54268,44.13
